staff_id,first_name,last_name,gender,hospital,city,state,department,job_title,education_level,hire_date,birth_date,performance_rating,night_shift,shift_type,certification_level,base_salary,adjusted_salary,termdate
HC-193610,Brenda,Gregory,Female,Unity Health,Chicago,Illinois,Admin,Admin Assistant,High School,2023-01-21,1989-07-04,Good,No,Night,None,75903,78598,
HC-757343,Mary,Trevino,Male,Valley Hospital,Tampa,Florida,Emergency,Paramedic,Associate,2019-06-03,1983-03-13,Good,Yes,Night,Basic,74774,86757,
HC-812052,James,Kerr,Female,General Health Center,Houston,Texas,Radiology,X-Ray Technician,Associate,2022-10-13,1988-05-04,Good,No,Night,Specialized,76208,83049,2024-11-30
HC-424348,Elizabeth,Neal,Male,Sunrise Medical,Buffalo,New York,Admin,Admin Assistant,High School,2013-12-24,1975-08-07,Good,No,Night,Advanced,120264,135297,
HC-228934,Mark,Lane,Male,Mercy Hospital,Springfield,Illinois,Emergency,ER Nurse,Bachelor,2021-12-17,1981-08-13,Good,No,Evening,Advanced,54442,66474,
HC-108739,Robert,Martin,Male,Unity Health,Rochester,New York,Oncology,Oncology Nurse,Bachelor,2023-06-15,1997-10-15,Good,No,Evening,Basic,108575,127793,
HC-403858,Bobby,Robinson,Male,Valley Hospital,Springfield,Illinois,Emergency,Paramedic,Associate,2019-01-02,1992-03-22,Average,No,Evening,Specialized,77782,88409,
HC-167755,Jerry,Hanson,Male,Mercy Hospital,Austin,Texas,Emergency,ER Nurse,Bachelor,2013-03-29,1990-09-25,Good,Yes,Day,Advanced,117735,140840,
HC-229431,Stephanie,Rivera,Male,Sunrise Medical,Buffalo,New York,Cardiology,Cardiologist,MD,2018-09-27,1996-03-15,Average,No,Evening,Advanced,126540,183214,
HC-974627,Jack,Fritz,Male,Valley Hospital,Tampa,Florida,Cardiology,Cardiologist,MD,2013-05-13,1987-01-27,Good,No,Evening,Advanced,105797,156394,2015-02-08
HC-797644,Anthony,Wilson,Female,Mercy Hospital,Buffalo,New York,Pharmacy,Inventory Clerk,High School,2015-04-16,1991-03-12,Outstanding,No,Night,Advanced,58696,60501,
HC-868661,Brenda,Cannon,Female,Hope Wellness Center,Buffalo,New York,Emergency,ER Doctor,MD,2018-01-16,1994-01-11,Good,Yes,Evening,Basic,44212,61096,
HC-596162,James,Thompson,Male,Lakeside Clinic,New York City,New York,Radiology,X-Ray Technician,Associate,2016-11-19,1973-09-19,Needs Improvement,Yes,Night,Specialized,95386,113175,2018-04-06
HC-518500,Matthew,Spencer,Male,Unity Health,New York City,New York,Cardiology,Cardiologist,MD,2022-03-06,1991-01-08,Average,No,Night,Advanced,62715,91862,
HC-691299,Megan,Lozano,Male,Lakeside Clinic,Los Angeles,California,Pediatrics,Pediatric Nurse,Bachelor,2020-01-08,1988-09-04,Good,No,Night,Basic,129564,155704,
HC-904950,Nicholas,Cobb,Female,General Health Center,Miami,Florida,Admin,Admin Assistant,High School,2016-02-10,1981-12-07,Average,No,Night,Basic,79460,83791,
HC-419811,Kevin,Allen,Male,Metro Medical,Chicago,Illinois,Emergency,ER Doctor,MD,2017-10-22,1975-08-29,Average,Yes,Evening,Basic,89278,135591,
HC-920411,Shelley,Rowland,Female,Sunrise Medical,Chicago,Illinois,Oncology,Oncology Nurse,Bachelor,2014-12-30,1976-11-17,Good,No,Evening,Advanced,106036,124382,
HC-818445,Natalie,Jones,Female,Metro Medical,San Diego,California,Pediatrics,Child Therapist,Master,2017-02-22,1984-12-03,Average,Yes,Evening,Specialized,95116,119547,
HC-530187,Laura,Lee,Female,Metro Medical,San Diego,California,Pharmacy,Pharmacy Technician,Bachelor,2013-05-18,1974-05-17,Average,Yes,Day,Specialized,51590,60785,
HC-892572,Carol,Rowland,Female,Mercy Hospital,Los Angeles,California,Emergency,ER Doctor,MD,2020-03-30,1989-01-17,Good,No,Day,Advanced,56682,79237,2022-01-09
HC-751050,Christina,Lopez,Male,General Health Center,Rochester,New York,Emergency,Paramedic,Associate,2023-07-14,1992-10-15,Good,No,Day,Specialized,56506,64226,
HC-522515,Mark,Brown,Female,Sunrise Medical,New York City,New York,Radiology,MRI Technician,Bachelor,2013-10-17,1975-11-14,Good,No,Evening,None,51096,60070,
HC-157349,Melissa,Schmitt,Female,Lakeside Clinic,San Diego,California,Pediatrics,Pediatric Nurse,Bachelor,2022-11-19,1980-03-17,Average,No,Day,Advanced,117901,137067,
HC-202130,Christopher,Ruiz,Female,Metro Medical,Orlando,Florida,Pharmacy,Pharmacy Technician,Bachelor,2019-08-30,1975-01-24,Good,No,Evening,None,55917,65737,
HC-876442,William,Potter,Female,Mercy Hospital,Rochester,New York,Admin,Billing Specialist,Bachelor,2020-08-23,1975-07-05,Needs Improvement,Yes,Night,None,131956,155131,
HC-315025,Victor,Marshall,Male,Metro Medical,Rochester,New York,Emergency,Paramedic,Associate,2015-04-28,1970-05-17,Outstanding,No,Evening,Basic,69300,82770,
HC-808502,Heather,Baldwin,Male,Valley Hospital,Tampa,Florida,Cardiology,Technician,Associate,2022-06-30,1991-04-08,Needs Improvement,Yes,Night,Advanced,134259,152955,
HC-106764,Richard,Morse,Female,Lakeside Clinic,Orlando,Florida,Oncology,Oncology Nurse,Bachelor,2020-08-01,1992-01-14,Average,No,Day,None,40004,45253,
HC-260455,Jeffrey,Harris,Female,Metro Medical,Miami,Florida,Cardiology,Technician,Associate,2022-11-11,1984-05-24,Average,No,Day,Basic,66777,73438,2024-07-19
HC-208639,Kevin,Oneal,Female,Valley Hospital,Austin,Texas,Pediatrics,Pediatric Nurse,Bachelor,2013-07-27,1975-12-07,Good,No,Evening,Specialized,47294,55600,
HC-227728,Neil,Pierce,Male,Valley Hospital,Tampa,Florida,Radiology,X-Ray Technician,Associate,2018-02-18,1991-01-31,Average,No,Day,Advanced,120315,137069,
HC-814416,Sean,Bell,Female,Mercy Hospital,Buffalo,New York,Pharmacy,Pharmacy Technician,Bachelor,2022-08-01,1981-06-19,Good,No,Day,Specialized,59168,68632,
HC-767101,Christine,Simmons,Female,Mercy Hospital,Chicago,Illinois,Admin,Admin Assistant,High School,2015-06-20,1970-05-29,Good,No,Night,Basic,62383,67413,
HC-636362,Linda,Stewart,Female,Valley Hospital,Tampa,Florida,Pediatrics,Child Therapist,Master,2020-05-19,1992-03-06,Good,No,Evening,Specialized,78015,96274,
HC-403509,Jesus,Brewer,Male,General Health Center,Buffalo,New York,Radiology,MRI Technician,Bachelor,2014-05-11,1974-01-31,Average,No,Evening,Advanced,127516,158152,
HC-388548,Megan,Hunt,Female,Metro Medical,Los Angeles,California,Oncology,Oncology Nurse,Bachelor,2017-08-23,1992-10-13,Needs Improvement,Yes,Evening,Specialized,95683,108238,
HC-255363,Sara,Garcia,Female,Valley Hospital,Miami,Florida,Radiology,Radiologist,MD,2016-01-27,1991-01-14,Needs Improvement,No,Night,Specialized,41444,57670,
HC-708738,James,Gonzalez,Female,Valley Hospital,San Diego,California,Radiology,X-Ray Technician,Associate,2013-04-30,1971-04-21,Good,No,Night,Specialized,45587,51612,
HC-471958,Lisa,Sutton,Female,Mercy Hospital,San Diego,California,Pharmacy,Pharmacist,PhD,2018-04-10,1973-09-14,Needs Improvement,No,Evening,Advanced,41195,57490,
HC-266004,Whitney,Murillo,Female,Metro Medical,Rochester,New York,Radiology,X-Ray Technician,Associate,2019-10-01,1981-09-27,Good,Yes,Day,Advanced,132566,146780,
HC-650560,Rita,Smith,Male,Sunrise Medical,Naperville,Illinois,Pharmacy,Pharmacy Technician,Bachelor,2019-04-20,1992-10-27,Average,Yes,Night,Basic,86119,102546,
HC-787796,Krista,Powell,Male,Lakeside Clinic,San Francisco,California,Pediatrics,Child Therapist,Master,2019-05-28,1983-07-31,Outstanding,No,Night,Basic,76482,101415,
HC-923091,Diana,Kennedy,Female,Mercy Hospital,Dallas,Texas,Oncology,Lab Technician,Bachelor,2017-07-06,1983-10-05,Average,Yes,Day,Specialized,89351,103176,
HC-594668,Edward,Sanders,Male,Metro Medical,Rochester,New York,Oncology,Lab Technician,Bachelor,2020-03-23,1980-09-30,Average,No,Night,Advanced,56963,69708,
HC-831663,Thomas,Black,Female,Metro Medical,Los Angeles,California,Radiology,X-Ray Technician,Associate,2019-10-14,1979-10-03,Good,No,Evening,Specialized,48856,54338,
HC-147111,Jennifer,Murray,Female,Hope Wellness Center,Tampa,Florida,Oncology,Oncologist,MD,2022-10-16,1995-04-24,Average,Yes,Day,None,127197,175365,
HC-211380,Jacob,Carrillo,Female,Unity Health,New York City,New York,Admin,Receptionist,High School,2023-09-12,1986-03-18,Outstanding,No,Evening,Basic,136029,141827,
HC-934252,Shannon,Hansen,Female,General Health Center,Miami,Florida,Radiology,Radiologist,MD,2014-05-17,1987-07-30,Good,No,Night,Specialized,139066,195296,
HC-540460,David,Harding,Female,Lakeside Clinic,Los Angeles,California,Pediatrics,Pediatrician,MD,2014-01-04,1984-10-22,Needs Improvement,No,Day,None,138295,195543,
HC-176421,Mary,Morgan,Female,Mercy Hospital,Dallas,Texas,Pediatrics,Pediatric Nurse,Bachelor,2021-06-02,1980-09-07,Good,Yes,Night,None,62815,73026,
HC-436759,Richard,Osborne,Female,Mercy Hospital,New York City,New York,Emergency,ER Doctor,MD,2020-07-15,1986-04-29,Good,Yes,Day,Basic,65653,92409,
HC-364760,Andrew,Floyd,Male,Sunrise Medical,Miami,Florida,Cardiology,Cardiac Nurse,Bachelor,2018-12-02,1987-02-25,Average,No,Day,Basic,137275,165348,2021-11-11
HC-269963,Stephanie,Rivera,Female,Unity Health,San Francisco,California,Pharmacy,Pharmacy Technician,Bachelor,2021-08-18,1993-08-08,Outstanding,No,Day,None,122459,138207,
HC-801138,Cathy,Camacho,Female,Unity Health,New York City,New York,Radiology,Radiologist,MD,2016-12-23,1990-03-16,Outstanding,No,Day,Advanced,93480,130378,
HC-695900,Peter,Ferguson,Female,General Health Center,Los Angeles,California,Oncology,Lab Technician,Bachelor,2022-03-10,1990-02-09,Good,Yes,Day,Specialized,64921,73779,
HC-972837,Ashley,Hayes,Female,Hope Wellness Center,Rochester,New York,Admin,Admin Assistant,High School,2019-11-22,1982-02-03,Average,No,Night,Advanced,86725,91246,2022-11-03
HC-748522,Damon,Tran,Female,Hope Wellness Center,Los Angeles,California,Admin,Billing Specialist,Bachelor,2022-01-12,1998-09-08,Good,Yes,Evening,Specialized,121981,136074,
HC-494388,Tracy,Lopez,Male,Unity Health,Chicago,Illinois,Cardiology,Cardiologist,MD,2019-01-26,1993-12-17,Good,Yes,Night,Advanced,53226,77604,2021-06-26
HC-223655,Justin,Hall,Female,General Health Center,Houston,Texas,Pediatrics,Pediatric Nurse,Bachelor,2016-08-28,1975-01-26,Good,No,Night,Advanced,42954,50498,
HC-334903,Brian,Stone,Female,Hope Wellness Center,Houston,Texas,Oncology,Oncology Nurse,Bachelor,2023-03-04,1993-11-09,Average,No,Evening,Advanced,48906,55195,
HC-265531,Robert,Moore,Male,Metro Medical,Los Angeles,California,Pharmacy,Pharmacy Technician,Bachelor,2014-02-10,1974-07-15,Average,No,Day,Advanced,92326,114507,
HC-748696,Timothy,Jones,Female,Metro Medical,Dallas,Texas,Pediatrics,Pediatrician,MD,2019-12-14,1994-11-12,Average,No,Night,Specialized,74478,102921,2022-02-09
HC-784963,David,Harris,Female,Mercy Hospital,Chicago,Illinois,Pharmacy,Pharmacist,PhD,2013-06-07,1978-09-16,Good,No,Evening,Basic,83848,115720,
HC-901883,Thomas,Munoz,Male,Hope Wellness Center,Chicago,Illinois,Oncology,Oncologist,MD,2015-12-08,1976-08-02,Outstanding,No,Night,Advanced,139266,211040,
HC-795558,Wayne,Cohen,Female,Sunrise Medical,Dallas,Texas,Pharmacy,Pharmacist,PhD,2016-04-10,1992-01-03,Outstanding,Yes,Night,None,85330,114077,
HC-174200,Douglas,Brown,Male,Mercy Hospital,Dallas,Texas,Pharmacy,Pharmacy Technician,Bachelor,2020-05-25,1979-10-21,Good,Yes,Day,Specialized,56969,69872,
HC-383648,Alicia,Kent,Male,Unity Health,New York City,New York,Radiology,MRI Technician,Bachelor,2013-11-17,1990-06-17,Good,No,Evening,Basic,125240,149818,
HC-467271,Barbara,Mclaughlin,Male,Valley Hospital,Chicago,Illinois,Radiology,X-Ray Technician,Associate,2018-04-15,1989-11-17,Needs Improvement,No,Day,None,43454,49733,
HC-911192,Stephen,Graves,Female,Metro Medical,Miami,Florida,Admin,Admin Assistant,High School,2019-09-17,1985-04-19,Needs Improvement,No,Night,None,112416,117475,
HC-605595,Chloe,Patrick,Female,Valley Hospital,Austin,Texas,Pediatrics,Pediatrician,MD,2017-03-05,1983-04-01,Average,No,Night,Basic,96324,136507,
HC-835405,Rachel,Quinn,Male,Unity Health,Austin,Texas,Oncology,Oncology Nurse,Bachelor,2019-06-16,1994-11-28,Good,Yes,Evening,None,120694,143053,
HC-485570,Isaac,Carroll,Female,Hope Wellness Center,New York City,New York,Pediatrics,Pediatric Nurse,Bachelor,2015-05-24,1980-12-11,Average,No,Day,Basic,70413,81860,
HC-196459,John,Harrell,Female,Sunrise Medical,San Francisco,California,Pharmacy,Inventory Clerk,High School,2013-04-10,1978-08-17,Average,Yes,Night,None,41952,44537,
HC-854793,Kelly,Hendricks,Female,Mercy Hospital,Miami,Florida,Emergency,ER Doctor,MD,2021-09-12,1997-09-20,Good,Yes,Day,Basic,97482,133772,
HC-289365,Jeff,Snyder,Female,Metro Medical,Dallas,Texas,Pediatrics,Pediatric Nurse,Bachelor,2013-12-28,1980-07-20,Good,No,Night,Basic,78327,91060,
HC-236017,Wanda,Jones,Female,Sunrise Medical,Buffalo,New York,Cardiology,Technician,Associate,2018-02-08,1975-10-07,Outstanding,Yes,Day,None,50011,56122,
HC-362352,Mark,Hayes,Male,Mercy Hospital,San Francisco,California,Emergency,Paramedic,Associate,2016-04-02,1972-07-03,Average,No,Night,Advanced,68873,81899,
HC-565087,Steven,Jones,Male,Mercy Hospital,Miami,Florida,Oncology,Lab Technician,Bachelor,2017-09-10,1984-09-30,Good,Yes,Night,Advanced,125674,152411,
HC-356068,Patrick,Reese,Female,Valley Hospital,Miami,Florida,Admin,Billing Specialist,Bachelor,2022-11-08,1990-05-25,Good,No,Night,None,47077,53500,
HC-463473,Alex,Wilson,Male,Lakeside Clinic,Orlando,Florida,Emergency,ER Nurse,Bachelor,2020-11-30,1979-04-30,Good,No,Evening,Advanced,50282,61671,
HC-313442,Kaitlyn,Washington,Female,Unity Health,San Diego,California,Pharmacy,Pharmacist,PhD,2022-01-25,1984-07-19,Outstanding,Yes,Day,Advanced,137243,186868,
HC-679826,John,Dodson,Female,General Health Center,Tampa,Florida,Emergency,ER Doctor,MD,2015-02-21,1970-10-26,Good,No,Day,None,70815,103308,
HC-832264,Mckenzie,Jackson,Female,Metro Medical,Tampa,Florida,Oncology,Oncology Nurse,Bachelor,2020-01-07,1984-02-06,Good,Yes,Day,None,105392,121423,
HC-976950,Kelly,Nichols,Male,General Health Center,Orlando,Florida,Pediatrics,Pediatrician,MD,2016-05-22,1976-01-29,Outstanding,No,Evening,Advanced,51074,77396,
HC-162621,Kathryn,Byrd,Female,Hope Wellness Center,Miami,Florida,Admin,Receptionist,High School,2022-02-25,1988-05-10,Good,No,Evening,None,90146,93560,
HC-503348,Jay,Johnson,Male,Sunrise Medical,Buffalo,New York,Cardiology,Cardiac Nurse,Bachelor,2013-09-03,1985-03-20,Good,No,Evening,Basic,126497,153061,
HC-552025,Heather,Copeland,Female,Hope Wellness Center,Rochester,New York,Pediatrics,Child Therapist,Master,2014-10-23,1983-08-22,Good,Yes,Day,Advanced,43406,54679,
HC-738309,Jennifer,Prince,Female,Hope Wellness Center,Houston,Texas,Pediatrics,Pediatric Nurse,Bachelor,2023-05-23,1993-04-23,Average,No,Night,Basic,139254,157162,
HC-128673,Brian,Smith,Male,General Health Center,Buffalo,New York,Radiology,X-Ray Technician,Associate,2021-10-09,1980-10-06,Good,No,Evening,Specialized,135581,158376,
HC-871137,Sarah,Brooks,Male,Valley Hospital,Orlando,Florida,Radiology,Radiologist,MD,2021-03-28,1982-02-03,Average,No,Evening,Advanced,110092,164601,
HC-586017,Robert,Hays,Male,Lakeside Clinic,San Diego,California,Emergency,ER Nurse,Bachelor,2019-05-03,1979-03-11,Good,No,Night,Advanced,61305,75191,
HC-499812,Elizabeth,Walker,Male,Metro Medical,San Francisco,California,Pediatrics,Pediatric Nurse,Bachelor,2021-11-18,1992-10-17,Good,No,Day,None,76791,91439,
HC-938429,Maria,Jackson,Male,Unity Health,Houston,Texas,Radiology,MRI Technician,Bachelor,2023-03-02,1999-06-01,Average,Yes,Day,Advanced,84241,98688,
HC-698823,Daniel,Murphy,Male,Mercy Hospital,Rochester,New York,Pharmacy,Pharmacy Technician,Bachelor,2013-07-24,1983-03-10,Average,No,Evening,Advanced,126406,153646,
HC-362682,Jamie,Weaver,Female,Mercy Hospital,Rochester,New York,Pediatrics,Child Therapist,Master,2021-12-08,1980-02-14,Good,No,Day,None,80225,101745,
HC-696053,Jason,Kelly,Male,Unity Health,New York City,New York,Cardiology,Technician,Associate,2017-03-05,1987-05-27,Good,No,Day,Specialized,100650,115722,
HC-118105,Leslie,Price,Female,Valley Hospital,Tampa,Florida,Radiology,X-Ray Technician,Associate,2013-06-16,1990-01-25,Average,No,Evening,Specialized,123590,134068,
HC-985339,Lisa,Santos,Male,Metro Medical,Dallas,Texas,Cardiology,Technician,Associate,2016-05-14,1993-01-25,Outstanding,No,Night,None,76234,86449,
HC-739975,Jeffery,Turner,Female,General Health Center,San Francisco,California,Oncology,Lab Technician,Bachelor,2017-08-06,1993-12-24,Good,No,Evening,Basic,73817,83310,2018-07-22
HC-903184,Cristian,Herrera,Male,Unity Health,Austin,Texas,Radiology,X-Ray Technician,Associate,2016-12-27,1979-11-06,Good,No,Day,Basic,122619,143556,
HC-282971,George,Haley,Female,Mercy Hospital,Houston,Texas,Radiology,Radiologist,MD,2022-08-07,1980-12-24,Outstanding,No,Day,Basic,55000,78473,
HC-786398,Heather,Gregory,Female,General Health Center,San Francisco,California,Admin,Admin Assistant,High School,2015-12-20,1977-09-10,Outstanding,No,Evening,Advanced,45499,48411,2017-02-01
HC-680290,Martin,Reid,Male,Valley Hospital,Los Angeles,California,Admin,Billing Specialist,Bachelor,2016-11-18,1972-04-26,Needs Improvement,No,Evening,Advanced,42112,52461,
HC-811341,Melissa,Olson,Female,Mercy Hospital,Orlando,Florida,Pharmacy,Pharmacy Technician,Bachelor,2019-05-02,1996-08-10,Average,Yes,Night,Basic,85839,96205,2020-10-03
HC-214466,Brenda,Reyes,Female,Sunrise Medical,Buffalo,New York,Pharmacy,Pharmacist,PhD,2019-08-22,1994-03-26,Average,Yes,Night,None,71061,94562,
HC-313953,Briana,Mcneil,Female,Lakeside Clinic,Naperville,Illinois,Radiology,X-Ray Technician,Associate,2019-03-26,1976-08-12,Good,No,Evening,None,124133,138991,
HC-547191,Penny,Parker,Female,General Health Center,Naperville,Illinois,Admin,Receptionist,High School,2015-09-26,1983-10-03,Good,Yes,Night,Advanced,83907,88081,
HC-527963,Christine,Brown,Male,Unity Health,Miami,Florida,Admin,Billing Specialist,Bachelor,2017-05-17,1986-04-18,Average,Yes,Night,None,61012,73657,
HC-486192,Edward,Harris,Male,Metro Medical,Austin,Texas,Oncology,Oncologist,MD,2017-01-14,1991-12-03,Good,No,Night,None,53924,78985,
HC-738622,Carly,Bautista,Male,General Health Center,Orlando,Florida,Cardiology,Cardiologist,MD,2021-09-27,1983-04-30,Average,No,Night,Advanced,68163,101682,
HC-497242,Joshua,Schneider,Female,General Health Center,Buffalo,New York,Admin,Billing Specialist,Bachelor,2013-10-04,1968-07-09,Good,Yes,Day,Specialized,139957,167096,
HC-780748,Tiffany,Wong,Female,General Health Center,Los Angeles,California,Admin,Admin Assistant,High School,2023-04-15,1994-01-09,Average,Yes,Night,Specialized,110643,113257,
HC-868654,Melanie,Rivera,Female,Unity Health,Houston,Texas,Emergency,ER Doctor,MD,2022-03-30,1984-07-15,Good,No,Day,Specialized,126402,178727,2024-02-06
HC-649923,Rebecca,Ortega,Male,Valley Hospital,Buffalo,New York,Oncology,Lab Technician,Bachelor,2018-04-01,1988-09-07,Needs Improvement,No,Day,Advanced,71985,86508,
HC-444650,Jennifer,Franklin,Male,Valley Hospital,Austin,Texas,Pediatrics,Pediatrician,MD,2021-05-19,1988-04-27,Good,No,Day,Specialized,81263,119853,
HC-884532,Scott,Smith,Female,Metro Medical,Tampa,Florida,Cardiology,Cardiologist,MD,2020-11-13,1984-01-26,Average,No,Night,Specialized,87432,123625,
HC-183561,James,Walters,Female,Valley Hospital,Miami,Florida,Admin,Receptionist,High School,2019-02-21,1995-03-16,Average,No,Evening,Specialized,119327,121863,
HC-341539,Christopher,Watkins,Female,Unity Health,Los Angeles,California,Pediatrics,Pediatric Nurse,Bachelor,2021-10-30,1992-12-06,Average,No,Night,Basic,110466,124961,2023-11-23
HC-356842,Joel,Miller,Female,Metro Medical,Dallas,Texas,Admin,Receptionist,High School,2020-09-21,1977-04-24,Outstanding,No,Day,Advanced,77602,82569,
HC-458163,Jennifer,Sanchez,Male,Hope Wellness Center,Dallas,Texas,Cardiology,Cardiac Nurse,Bachelor,2015-03-06,1980-03-31,Average,Yes,Evening,Basic,115499,141342,2017-06-23
HC-618206,Justin,West,Female,Metro Medical,Los Angeles,California,Pediatrics,Child Therapist,Master,2022-08-20,1994-04-09,Outstanding,Yes,Day,Specialized,42033,51631,
HC-274872,Kimberly,Miller,Female,Valley Hospital,San Francisco,California,Pharmacy,Pharmacist,PhD,2018-12-21,1979-05-25,Average,Yes,Night,Specialized,137367,189158,
HC-205901,Gary,Alexander,Male,Hope Wellness Center,New York City,New York,Admin,Admin Assistant,High School,2022-07-03,1987-09-25,Good,No,Day,Basic,49570,54279,
HC-238808,Kathleen,Weiss,Female,Mercy Hospital,Houston,Texas,Pharmacy,Inventory Clerk,High School,2022-10-16,1988-01-08,Good,No,Evening,Advanced,56705,58853,
HC-521860,Patrick,Dickerson,Female,Valley Hospital,Tampa,Florida,Radiology,MRI Technician,Bachelor,2019-10-04,1975-12-02,Good,No,Evening,None,84146,98924,
HC-964776,Brooke,Hernandez,Male,Mercy Hospital,Houston,Texas,Pediatrics,Pediatric Nurse,Bachelor,2019-09-22,1978-04-04,Good,No,Day,None,49666,61052,
HC-874633,Steven,Chavez,Female,Sunrise Medical,Springfield,Illinois,Admin,Receptionist,High School,2023-05-17,1988-08-09,Good,No,Night,Specialized,137084,142276,
HC-975356,Charles,Taylor,Female,Valley Hospital,Austin,Texas,Cardiology,Cardiac Nurse,Bachelor,2017-06-20,1980-02-26,Outstanding,No,Night,Basic,136133,158263,
HC-292362,Jake,Smith,Male,Sunrise Medical,Austin,Texas,Radiology,MRI Technician,Bachelor,2021-07-02,1983-09-22,Good,No,Day,Basic,41020,49860,
HC-722385,Travis,Frost,Female,Valley Hospital,Springfield,Illinois,Pharmacy,Inventory Clerk,High School,2017-12-09,1975-12-20,Needs Improvement,No,Evening,Specialized,82000,87638,
HC-559891,Nathan,Burns,Female,Sunrise Medical,Buffalo,New York,Pediatrics,Pediatrician,MD,2019-08-22,1979-08-03,Good,Yes,Evening,None,70443,100733,
HC-411792,Riley,Williams,Male,Lakeside Clinic,San Francisco,California,Pharmacy,Pharmacy Technician,Bachelor,2017-12-02,1977-05-21,Outstanding,No,Night,Specialized,77389,95343,
HC-438480,Ariel,Lee,Female,Sunrise Medical,New York City,New York,Admin,Receptionist,High School,2017-06-08,1990-04-03,Average,No,Day,None,136288,140803,
HC-866493,Robin,Bowen,Female,Mercy Hospital,Tampa,Florida,Pediatrics,Pediatrician,MD,2018-07-05,1988-06-27,Outstanding,No,Night,Advanced,53037,74312,
HC-464218,Haley,Horton,Female,General Health Center,Miami,Florida,Oncology,Oncology Nurse,Bachelor,2015-08-25,1984-12-04,Good,No,Evening,Specialized,97529,112364,
HC-334496,Jill,Allen,Female,Metro Medical,Los Angeles,California,Oncology,Oncologist,MD,2017-01-13,1987-10-23,Average,No,Night,None,70366,98818,
HC-798806,Crystal,Rhodes,Female,Sunrise Medical,Los Angeles,California,Pediatrics,Pediatric Nurse,Bachelor,2015-09-11,1987-08-23,Average,Yes,Night,Basic,43584,49872,
HC-727459,Jose,Gibson,Female,General Health Center,New York City,New York,Oncology,Oncologist,MD,2024-09-05,1985-04-03,Good,Yes,Night,Basic,40873,57662,
HC-612088,Carrie,Lynn,Male,Unity Health,Tampa,Florida,Cardiology,Cardiologist,MD,2017-11-03,1986-01-05,Average,No,Night,Specialized,135956,201436,
HC-566432,Kelli,Newman,Female,Lakeside Clinic,Austin,Texas,Emergency,Paramedic,Associate,2015-11-30,1979-05-25,Average,No,Evening,None,133880,148903,
HC-840632,Brenda,Santana,Female,Lakeside Clinic,New York City,New York,Oncology,Oncologist,MD,2018-07-08,1983-03-10,Good,No,Evening,Advanced,51385,72821,
HC-243464,Rodney,Gallegos,Male,Hope Wellness Center,Buffalo,New York,Pediatrics,Pediatric Nurse,Bachelor,2021-04-03,1996-04-20,Good,No,Evening,None,137553,162278,
HC-931856,Tammy,Barrett,Female,Unity Health,San Diego,California,Radiology,Radiologist,MD,2021-05-20,1989-04-23,Average,No,Day,Advanced,76190,106508,
HC-575491,Robert,Walter,Female,Unity Health,Miami,Florida,Pediatrics,Child Therapist,Master,2021-09-22,1978-02-02,Good,No,Day,Advanced,45027,57362,2023-11-11
HC-554429,Daisy,Frank,Female,Hope Wellness Center,San Francisco,California,Admin,Admin Assistant,High School,2023-05-06,1985-02-21,Good,No,Evening,Basic,113160,118252,2025-04-19
HC-793245,Kaitlyn,Conrad,Male,Unity Health,Buffalo,New York,Cardiology,Technician,Associate,2013-05-25,1971-04-23,Average,No,Night,None,72232,86082,
HC-243523,Valerie,Velasquez,Male,Mercy Hospital,New York City,New York,Radiology,MRI Technician,Bachelor,2017-01-01,1988-01-26,Average,No,Night,Basic,74771,89856,
HC-592951,Heather,Warren,Male,Unity Health,Naperville,Illinois,Emergency,ER Doctor,MD,2018-08-27,1991-09-24,Outstanding,No,Night,Specialized,77040,112844,
HC-238193,George,Brooks,Female,Mercy Hospital,San Francisco,California,Emergency,ER Doctor,MD,2020-09-13,1996-03-13,Average,No,Night,Basic,40419,55596,
HC-555416,Hunter,Fry,Female,Hope Wellness Center,San Diego,California,Radiology,Radiologist,MD,2019-06-14,1978-10-24,Good,Yes,Day,Basic,45087,64618,
HC-538471,Jacob,Brown,Male,Sunrise Medical,Austin,Texas,Admin,Billing Specialist,Bachelor,2016-03-07,1982-10-04,Good,No,Night,Basic,123586,150559,
HC-465642,Jordan,Barrera,Female,Hope Wellness Center,Dallas,Texas,Pharmacy,Pharmacy Technician,Bachelor,2019-05-29,1992-08-16,Good,No,Evening,Basic,78288,88560,
HC-800423,Claudia,Oneill,Female,Valley Hospital,Los Angeles,California,Emergency,ER Nurse,Bachelor,2019-03-02,1977-04-17,Outstanding,No,Evening,Advanced,111226,130179,
HC-604322,Nicholas,Hill,Male,Unity Health,Springfield,Illinois,Admin,Receptionist,High School,2014-05-05,1989-08-02,Good,No,Evening,Specialized,98611,107486,
HC-441203,Timothy,Chambers,Male,Unity Health,San Francisco,California,Radiology,Radiologist,MD,2020-02-06,1995-01-23,Outstanding,No,Day,Specialized,81799,118711,
HC-792702,Karen,Smith,Male,Lakeside Clinic,Austin,Texas,Radiology,Radiologist,MD,2017-08-01,1983-12-26,Needs Improvement,No,Night,Basic,103404,154253,
HC-980930,Collin,Boyd,Female,Hope Wellness Center,New York City,New York,Pediatrics,Pediatric Nurse,Bachelor,2020-01-03,1977-08-08,Needs Improvement,No,Day,None,78132,91446,
